"No","Kecamatan","DesilKesejahteraan","PrioritasVerval","JenisKelamin","HubungaKepalaKeluarga","Pekerjaan","Usia2023","PenerimaSEMBAKO"
"48431","KOTA KUDUS","1","Normal","Perempuan","Istri","1","55","Tidak"
"48432","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","35","Tidak"
"48433","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","12","Tidak"
"48434","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","0","63","Tidak"
"48435","KOTA KUDUS","1","Normal","Perempuan","Istri","1","47","Ya"
"48436","KOTA KUDUS","1","Normal","Perempuan","Anak","2","24","Tidak"
"48437","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","12","Tidak"
"48438","KOTA KUDUS","1","Normal","Perempuan","Anak","1","9","Tidak"
"48439","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","6","Tidak"
"48440","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Kepala Keluarga","2","37","Tidak"
"48441","KOTA KUDUS","1","NIK Duplikat","Perempuan","Istri","1","37","Tidak"
"48442","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","1","9","Tidak"
"48443","KOTA KUDUS","1","NIK Duplikat","Perempuan","Kepala Keluarga","1","72","Ya"
"48444","KOTA KUDUS","1","Normal","Perempuan","Anak","0","53","Tidak"
"48445","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","4","49","Tidak"
"48446","KOTA KUDUS","1","Normal","Perempuan","Istri","4","42","Tidak"
"48447","KOTA KUDUS","1","Normal","Perempuan","Anak","1","7","Tidak"
"48448","KOTA KUDUS","1","Normal","Perempuan","Anak","1","4","Tidak"
"48449","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","2","41","Tidak"
"48450","KOTA KUDUS","1","Normal","Perempuan","Istri","2","35","Tidak"
"48451","KOTA KUDUS","1","Normal","Perempuan","Anak","1","17","Tidak"
"48452","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","12","Tidak"
"48453","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","1","66","Tidak"
"48454","KOTA KUDUS","1","Normal","Laki-laki","Anak","2","44","Tidak"
"48455","KOTA KUDUS","1","Normal","Laki-laki","Anak","2","40","Tidak"
"48456","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","2","46","Tidak"
"48457","KOTA KUDUS","1","Normal","Perempuan","Istri","2","39","Tidak"
"48458","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","19","Tidak"
"48459","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","14","Tidak"
"48460","KOTA KUDUS","1","Normal","Perempuan","Anak","1","12","Tidak"
"48461","KOTA KUDUS","1","Normal","Perempuan","Anak","1","9","Tidak"
"48462","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Kepala Keluarga","4","47","Tidak"
"48463","KOTA KUDUS","1","NIK Duplikat","Perempuan","Istri","4","45","Tidak"
"48464","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","1","23","Tidak"
"48465","KOTA KUDUS","1","NIK Duplikat","Perempuan","Anak","1","21","Tidak"
"48466","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","1","17","Tidak"
"48467","KOTA KUDUS","1","NIK Duplikat","Perempuan","Anak","1","15","Tidak"
"48468","KOTA KUDUS","1","NIK Duplikat","Perempuan","Anak","1","13","Tidak"
"48469","KOTA KUDUS","1","Normal","Perempuan","Anak","1","11","Tidak"
"48470","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","2","31","Tidak"
"48471","KOTA KUDUS","1","Normal","Perempuan","Istri","1","34","Tidak"
"48472","KOTA KUDUS","1","Normal","Perempuan","Anak","1","9","Tidak"
"48473","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","8","Tidak"
"48474","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","2","62","Tidak"
"48475","KOTA KUDUS","1","Normal","Perempuan","Istri","0","56","Tidak"
"48476","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","23","Tidak"
"48477","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","1","61","Tidak"
"48478","KOTA KUDUS","1","Normal","Perempuan","Istri","0","49","Tidak"
"48479","KOTA KUDUS","1","NIK Duplikat","Perempuan","Anak","2","15","Tidak"
"48480","KOTA KUDUS","1","Normal","Perempuan","Anak","1","12","Tidak"
"48481","KOTA KUDUS","1","Normal","Perempuan","Kepala Keluarga","1","71","Ya"
"48482","KOTA KUDUS","1","Normal","Perempuan","Anak","0","53","Tidak"
"48483","KOTA KUDUS","1","Normal","Laki-laki","Anak","0","48","Tidak"
"48484","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Lainnya","1","14","Tidak"
"48485","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","2","46","Tidak"
"48486","KOTA KUDUS","1","Normal","Perempuan","Istri","4","36","Ya"
"48487","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","16","Tidak"
"48488","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","12","Tidak"
"48489","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","8","Tidak"
"48490","KOTA KUDUS","1","Normal","Perempuan","Lainnya","1","80","Tidak"
"48491","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","2","64","Tidak"
"48492","KOTA KUDUS","1","Normal","Perempuan","Istri","2","48","Ya"
"48493","KOTA KUDUS","1","Normal","Laki-laki","Anak","2","22","Tidak"
"48494","KOTA KUDUS","1","Normal","Laki-laki","Anak","2","20","Tidak"
"48495","KOTA KUDUS","1","Normal","Perempuan","Anak","1","12","Tidak"
"48496","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Kepala Keluarga","2","36","Tidak"
"48497","KOTA KUDUS","1","NIK Duplikat","Perempuan","Istri","1","36","Tidak"
"48498","KOTA KUDUS","1","NIK Duplikat","Perempuan","Anak","1","15","Tidak"
"48499","KOTA KUDUS","1","NIK Duplikat","Perempuan","Anak","1","3","Tidak"
"48500","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Kepala Keluarga","2","45","Tidak"
"48501","KOTA KUDUS","1","Normal","Perempuan","Istri","2","43","Tidak"
"48502","KOTA KUDUS","1","Normal","Perempuan","Anak","1","15","Tidak"
"48503","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","1","2","Tidak"
"48504","KOTA KUDUS","1","Normal","Perempuan","Kepala Keluarga","1","52","Ya"
"48505","KOTA KUDUS","1","Normal","Laki-laki","Anak","4","35","Tidak"
"48506","KOTA KUDUS","1","Normal","Laki-laki","Anak","4","27","Tidak"
"48507","KOTA KUDUS","1","Normal","Laki-laki","Anak","1","18","Tidak"
"48508","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","0","54","Tidak"
"48509","KOTA KUDUS","1","NIK Duplikat","Perempuan","Istri","1","51","Tidak"
"48510","KOTA KUDUS","1","NIK Duplikat","Perempuan","Anak","2","22","Tidak"
"48511","KOTA KUDUS","1","NIK Duplikat","Perempuan","Anak","2","21","Tidak"
"48512","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","2","21","Tidak"
"48513","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Kepala Keluarga","1","35","Tidak"
"48514","KOTA KUDUS","1","NIK Duplikat","Perempuan","Istri","2","34","Tidak"
"48515","KOTA KUDUS","1","Normal","Perempuan","Anak","1","14","Tidak"
"48516","KOTA KUDUS","1","Normal","Perempuan","Anak","1","11","Tidak"
"48517","KOTA KUDUS","1","Normal","Laki-laki","Kepala Keluarga","2","51","Tidak"
"48518","KOTA KUDUS","1","NIK Duplikat","Perempuan","Istri","1","44","Tidak"
"48519","KOTA KUDUS","1","Normal","Perempuan","Anak","1","4","Tidak"
"48520","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Kepala Keluarga","0","59","Tidak"
"48521","KOTA KUDUS","1","NIK Duplikat","Perempuan","Istri","1","53","Tidak"
"48522","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","2","37","Tidak"
"48523","KOTA KUDUS","1","NIK Duplikat","Laki-laki","Anak","2","27","Tidak"
"48524","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","2","58","Tidak"
"48525","KOTA KUDUS","2","Normal","Perempuan","Istri","1","51","Tidak"
"48526","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","13","Tidak"
"48527","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","21","Tidak"
"48528","KOTA KUDUS","2","Normal","Laki-laki","Anak","2","31","Tidak"
"48529","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Kepala Keluarga","2","48","Ya"
"48530","KOTA KUDUS","2","NIK Duplikat","Perempuan","Istri","2","45","Tidak"
"48531","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Anak","1","13","Tidak"
"48532","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","2","22","Tidak"
"48533","KOTA KUDUS","2","NIK Duplikat","Perempuan","Lainnya","0","65","Tidak"
"48534","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","2","35","Tidak"
"48535","KOTA KUDUS","2","Normal","Perempuan","Istri","1","37","Tidak"
"48536","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","8","Tidak"
"48537","KOTA KUDUS","2","Normal","Perempuan","Anak","1","10","Tidak"
"48538","KOTA KUDUS","2","Normal","Perempuan","Anak","1","13","Tidak"
"48539","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","0","34","Tidak"
"48540","KOTA KUDUS","2","Normal","Perempuan","Istri","1","35","Ya"
"48541","KOTA KUDUS","2","Normal","Perempuan","Anak","1","3","Tidak"
"48542","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","7","Tidak"
"48543","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","4","35","Tidak"
"48544","KOTA KUDUS","2","Normal","Perempuan","Istri","1","38","Tidak"
"48545","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","8","Tidak"
"48546","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","3","48","Tidak"
"48547","KOTA KUDUS","2","Normal","Perempuan","Istri","3","40","Tidak"
"48548","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","9","Tidak"
"48549","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","15","Tidak"
"48550","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","3","62","Tidak"
"48551","KOTA KUDUS","2","Normal","Perempuan","Istri","1","58","Tidak"
"48552","KOTA KUDUS","2","Normal","Laki-laki","Anak","2","24","Tidak"
"48553","KOTA KUDUS","2","Normal","Laki-laki","Anak","3","26","Tidak"
"48554","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","0","31","Tidak"
"48555","KOTA KUDUS","2","Normal","Laki-laki","Anak","2","37","Tidak"
"48556","KOTA KUDUS","2","Normal","Perempuan","Kepala Keluarga","4","77","Ya"
"48557","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","2","41","Tidak"
"48558","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Anak","2","44","Tidak"
"48559","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","2","47","Tidak"
"48560","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","2","53","Tidak"
"48561","KOTA KUDUS","2","Normal","Perempuan","Kepala Keluarga","1","52","Ya"
"48562","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","2","27","Tidak"
"48563","KOTA KUDUS","2","Normal","Laki-laki","Anak","2","33","Tidak"
"48564","KOTA KUDUS","2","Normal","Perempuan","Lainnya","1","73","Tidak"
"48565","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","1","80","Tidak"
"48566","KOTA KUDUS","2","Normal","Perempuan","Istri","3","64","Tidak"
"48567","KOTA KUDUS","2","Normal","Perempuan","Anak","2","29","Tidak"
"48568","KOTA KUDUS","2","Normal","Laki-laki","Anak","2","34","Tidak"
"48569","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","2","34","Tidak"
"48570","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Anak","2","35","Tidak"
"48571","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","2","55","Tidak"
"48572","KOTA KUDUS","2","Normal","Perempuan","Istri","0","45","Tidak"
"48573","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","8","Tidak"
"48574","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","13","Tidak"
"48575","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Kepala Keluarga","2","45","Tidak"
"48576","KOTA KUDUS","2","NIK Duplikat","Perempuan","Istri","2","44","Tidak"
"48577","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Anak","1","10","Tidak"
"48578","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Anak","1","12","Tidak"
"48579","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Anak","1","21","Tidak"
"48580","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Kepala Keluarga","2","40","Tidak"
"48581","KOTA KUDUS","2","NIK Duplikat","Perempuan","Istri","3","31","Tidak"
"48582","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","1","9","Tidak"
"48583","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Anak","1","13","Tidak"
"48584","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","2","45","Tidak"
"48585","KOTA KUDUS","2","Normal","Perempuan","Istri","2","42","Tidak"
"48586","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","13","Tidak"
"48587","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Anak","1","8","Tidak"
"48588","KOTA KUDUS","2","Normal","Perempuan","Kepala Keluarga","0","77","Ya"
"48589","KOTA KUDUS","2","Normal","Perempuan","Anak","1","45","Tidak"
"48590","KOTA KUDUS","2","Normal","Perempuan","Kepala Keluarga","2","46","Tidak"
"48591","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","1","20","Tidak"
"48592","KOTA KUDUS","2","Normal","Perempuan","Anak","1","19","Tidak"
"48593","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Anak","1","8","Tidak"
"48594","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Kepala Keluarga","1","68","Tidak"
"48595","KOTA KUDUS","2","NIK Duplikat","Perempuan","Istri","4","58","Tidak"
"48596","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Anak","2","25","Tidak"
"48597","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Kepala Keluarga","5","68","Tidak"
"48598","KOTA KUDUS","2","NIK Duplikat","Perempuan","Istri","4","58","Tidak"
"48599","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Anak","2","24","Tidak"
"48600","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Kepala Keluarga","4","34","Tidak"
"48601","KOTA KUDUS","2","Normal","Perempuan","Istri","1","34","Tidak"
"48602","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Anak","1","14","Tidak"
"48603","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Anak","1","7","Tidak"
"48604","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","2","44","Tidak"
"48605","KOTA KUDUS","2","Normal","Perempuan","Istri","1","44","Ya"
"48606","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","15","Tidak"
"48607","KOTA KUDUS","2","Normal","Perempuan","Anak","1","10","Tidak"
"48608","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","4","68","Tidak"
"48609","KOTA KUDUS","2","Normal","Perempuan","Istri","1","62","Tidak"
"48610","KOTA KUDUS","2","Normal","Laki-laki","Anak","5","31","Tidak"
"48611","KOTA KUDUS","2","Normal","Laki-laki","Anak","2","27","Tidak"
"48612","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","4","50","Tidak"
"48613","KOTA KUDUS","2","Normal","Perempuan","Istri","1","40","Tidak"
"48614","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","18","Tidak"
"48615","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","15","Tidak"
"48616","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","10","Tidak"
"48617","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","4","45","Tidak"
"48618","KOTA KUDUS","2","Normal","Perempuan","Istri","1","37","Tidak"
"48619","KOTA KUDUS","2","Normal","Perempuan","Anak","1","12","Tidak"
"48620","KOTA KUDUS","2","Normal","Perempuan","Anak","1","3","Tidak"
"48621","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","2","Tidak"
"48622","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","2","52","Tidak"
"48623","KOTA KUDUS","2","Normal","Perempuan","Istri","5","38","Tidak"
"48624","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","14","Tidak"
"48625","KOTA KUDUS","2","Normal","Perempuan","Anak","1","12","Tidak"
"48626","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","3","57","Tidak"
"48627","KOTA KUDUS","2","Normal","Perempuan","Istri","4","51","Tidak"
"48628","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","23","Tidak"
"48629","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","20","Tidak"
"48630","KOTA KUDUS","2","Normal","Perempuan","Anak","1","17","Tidak"
"48631","KOTA KUDUS","2","Normal","Perempuan","Anak","1","11","Tidak"
"48632","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","2","70","Tidak"
"48633","KOTA KUDUS","2","Normal","Perempuan","Istri","0","63","Tidak"
"48634","KOTA KUDUS","2","Normal","Laki-laki","Anak","5","42","Tidak"
"48635","KOTA KUDUS","2","Normal","Laki-laki","Anak","0","27","Tidak"
"48636","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","18","Tidak"
"48637","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","5","55","Tidak"
"48638","KOTA KUDUS","2","Normal","Laki-laki","Anak","5","28","Tidak"
"48639","KOTA KUDUS","2","Normal","Laki-laki","Anak","5","23","Tidak"
"48640","KOTA KUDUS","2","Normal","Laki-laki","Anak","0","20","Tidak"
"48641","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","3","75","Tidak"
"48642","KOTA KUDUS","2","Normal","Perempuan","Istri","3","52","Tidak"
"48643","KOTA KUDUS","2","Normal","Laki-laki","Anak","2","33","Tidak"
"48644","KOTA KUDUS","2","Normal","Perempuan","Anak","2","22","Tidak"
"48645","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","17","Tidak"
"48646","KOTA KUDUS","2","Normal","Laki-laki","Lainnya","3","28","Tidak"
"48647","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","5","66","Tidak"
"48648","KOTA KUDUS","2","Normal","Perempuan","Istri","3","59","Tidak"
"48649","KOTA KUDUS","2","Normal","Laki-laki","Anak","3","27","Tidak"
"48650","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","14","Tidak"
"48651","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","3","42","Tidak"
"48652","KOTA KUDUS","2","Normal","Perempuan","Istri","3","43","Tidak"
"48653","KOTA KUDUS","2","Normal","Perempuan","Anak","1","14","Tidak"
"48654","KOTA KUDUS","2","Normal","Perempuan","Anak","1","12","Tidak"
"48655","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","10","Tidak"
"48656","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","5","74","Tidak"
"48657","KOTA KUDUS","2","Normal","Perempuan","Istri","1","66","Ya"
"48658","KOTA KUDUS","2","Normal","Laki-laki","Anak","3","44","Tidak"
"48659","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Kepala Keluarga","3","25","Tidak"
"48660","KOTA KUDUS","2","Normal","Perempuan","Lainnya","1","54","Tidak"
"48661","KOTA KUDUS","2","NIK Duplikat","Perempuan","Lainnya","3","22","Tidak"
"48662","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","0","69","Tidak"
"48663","KOTA KUDUS","2","Normal","Perempuan","Istri","0","65","Tidak"
"48664","KOTA KUDUS","2","Normal","Laki-laki","Lainnya","1","67","Tidak"
"48665","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Kepala Keluarga","0","48","Tidak"
"48666","KOTA KUDUS","2","Normal","Perempuan","Istri","4","51","Tidak"
"48667","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","2","30","Ya"
"48668","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","2","28","Tidak"
"48669","KOTA KUDUS","2","Normal","Perempuan","Anak","1","20","Tidak"
"48670","KOTA KUDUS","2","Normal","Perempuan","Anak","1","14","Tidak"
"48671","KOTA KUDUS","2","Normal","Perempuan","Anak","1","12","Tidak"
"48672","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Kepala Keluarga","4","56","Tidak"
"48673","KOTA KUDUS","2","NIK Duplikat","Perempuan","Istri","4","51","Tidak"
"48674","KOTA KUDUS","2","Normal","Perempuan","Anak","2","27","Tidak"
"48675","KOTA KUDUS","2","Normal","Perempuan","Anak","1","16","Tidak"
"48676","KOTA KUDUS","2","Normal","Perempuan","Lainnya","5","88","Tidak"
"48677","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","2","53","Tidak"
"48678","KOTA KUDUS","2","Normal","Perempuan","Istri","2","48","Tidak"
"48679","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Anak","2","28","Tidak"
"48680","KOTA KUDUS","2","Normal","Perempuan","Anak","2","23","Tidak"
"48681","KOTA KUDUS","2","Normal","Perempuan","Anak","2","23","Tidak"
"48682","KOTA KUDUS","2","Normal","Perempuan","Anak","1","17","Tidak"
"48683","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","6","Tidak"
"48684","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Kepala Keluarga","2","44","Tidak"
"48685","KOTA KUDUS","2","Normal","Perempuan","Istri","1","43","Ya"
"48686","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","20","Tidak"
"48687","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","18","Tidak"
"48688","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","14","Tidak"
"48689","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Kepala Keluarga","2","43","Tidak"
"48690","KOTA KUDUS","2","Normal","Perempuan","Istri","1","41","Tidak"
"48691","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","16","Tidak"
"48692","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","13","Tidak"
"48693","KOTA KUDUS","2","Normal","Perempuan","Anak","1","7","Tidak"
"48694","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","3","42","Tidak"
"48695","KOTA KUDUS","2","Normal","Perempuan","Istri","2","38","Tidak"
"48696","KOTA KUDUS","2","Normal","Perempuan","Anak","1","13","Tidak"
"48697","KOTA KUDUS","2","Normal","Perempuan","Anak","1","10","Tidak"
"48698","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Anak","1","6","Tidak"
"48699","KOTA KUDUS","2","Normal","Perempuan","Anak","1","4","Tidak"
"48700","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","2","50","Tidak"
"48701","KOTA KUDUS","2","Normal","Perempuan","Istri","4","48","Tidak"
"48702","KOTA KUDUS","2","Normal","Perempuan","Anak","2","20","Tidak"
"48703","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","18","Tidak"
"48704","KOTA KUDUS","2","Normal","Perempuan","Lainnya","1","81","Tidak"
"48705","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","2","40","Tidak"
"48706","KOTA KUDUS","2","Normal","Perempuan","Istri","2","35","Tidak"
"48707","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","11","Tidak"
"48708","KOTA KUDUS","2","Normal","Perempuan","Anak","1","9","Tidak"
"48709","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","1","4","Tidak"
"48710","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","4","44","Tidak"
"48711","KOTA KUDUS","2","Normal","Perempuan","Istri","0","42","Tidak"
"48712","KOTA KUDUS","2","Normal","Perempuan","Anak","1","16","Tidak"
"48713","KOTA KUDUS","2","Normal","Perempuan","Anak","1","13","Tidak"
"48714","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","5","63","Tidak"
"48715","KOTA KUDUS","2","NIK Duplikat","Perempuan","Istri","3","59","Tidak"
"48716","KOTA KUDUS","2","Normal","Perempuan","Lainnya","1","86","Tidak"
"48717","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","5","49","Tidak"
"48718","KOTA KUDUS","2","Normal","Perempuan","Istri","5","49","Tidak"
"48719","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Anak","3","28","Tidak"
"48720","KOTA KUDUS","2","Normal","Perempuan","Anak","1","16","Tidak"
"48721","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","14","Tidak"
"48722","KOTA KUDUS","2","Normal","Perempuan","Kepala Keluarga","5","58","Ya"
"48723","KOTA KUDUS","2","Normal","Perempuan","Anak","5","36","Tidak"
"48724","KOTA KUDUS","2","Normal","Perempuan","Anak","5","34","Tidak"
"48725","KOTA KUDUS","2","Normal","Perempuan","Anak","5","30","Tidak"
"48726","KOTA KUDUS","2","Normal","Laki-laki","Anak","5","27","Tidak"
"48727","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","4","31","Tidak"
"48728","KOTA KUDUS","2","Normal","Perempuan","Istri","1","29","Tidak"
"48729","KOTA KUDUS","2","Normal","Perempuan","Anak","1","9","Tidak"
"48730","KOTA KUDUS","2","Normal","Perempuan","Anak","1","7","Tidak"
"48731","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","1","4","Tidak"
"48732","KOTA KUDUS","2","Normal","Perempuan","Lainnya","1","49","Tidak"
"48733","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","2","45","Tidak"
"48734","KOTA KUDUS","2","Normal","Perempuan","Istri","2","37","Tidak"
"48735","KOTA KUDUS","2","Normal","Perempuan","Anak","1","16","Tidak"
"48736","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","14","Tidak"
"48737","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","11","Tidak"
"48738","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","6","Tidak"
"48739","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","3","48","Tidak"
"48740","KOTA KUDUS","2","Normal","Perempuan","Istri","5","46","Tidak"
"48741","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Anak","1","23","Tidak"
"48742","KOTA KUDUS","2","Normal","Perempuan","Anak","1","19","Tidak"
"48743","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","8","Tidak"
"48744","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","2","56","Tidak"
"48745","KOTA KUDUS","2","Normal","Perempuan","Istri","2","53","Ya"
"48746","KOTA KUDUS","2","Normal","Laki-laki","Anak","2","22","Tidak"
"48747","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Anak","1","16","Tidak"
"48748","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Kepala Keluarga","2","50","Tidak"
"48749","KOTA KUDUS","2","NIK Duplikat","Perempuan","Istri","2","42","Tidak"
"48750","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","1","14","Tidak"
"48751","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","1","13","Tidak"
"48752","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","4","52","Tidak"
